Horodatage,Température (°C),Humidité (%),Pression (hPa),Vitesse Vent (m/s),Direction Vent (°),Rafale Vent (m/s),Direction Rafale (°),Taux de pluie (mm/h),Batterie (volts),statut de la température,statut du LOG,statut du WSS,statut du GPS
2025-05-09 10:15:53,22.5,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:54,22.5,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:54,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:55,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:55,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:55,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:56,22.5,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:56,22.5,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:56,22.5,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:57,22.5,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:57,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:58,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:58,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:58,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:59,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:59,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:59,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:00,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:00,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:01,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:01,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:01,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:02,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:02,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:02,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
