Horodatage,Température (°C),Humidité (%),Pression (hPa),Vitesse Vent (m/s),Direction Vent (°),Rafale Vent (m/s),Direction Rafale (°),Taux de pluie (mm/h)
2025-05-08 15:13:53,24.0,35.6,1010.4,0.0,238.7,0.0,0.0,0.0
2025-05-08 15:13:54,24.0,35.6,1010.4,0.0,238.7,0.0,0.0,0.0
